x,y,z,type
0.5936,-0.0672,0.0,1
0.5984,-0.0672,0.0,1
0.6032,-0.0672,0.0,1
0.608,-0.06599999999999999,0.0,1
0.6128,-0.0648,0.0,1
0.6176,-0.06359999999999999,0.0,1
0.6224,-0.0624,0.0,1
0.6272,-0.06,0.0,1
0.632,-0.0576,0.0,1
0.6368,-0.05519999999999999,0.0,1
0.6416,-0.05159999999999999,0.0,1
0.6464,-0.046799999999999994,0.0,1
0.6512,-0.041999999999999996,0.0,1
0.656,-0.0372,0.0,1
0.6596,-0.0324,0.0,1
0.6632,-0.027599999999999996,0.0,1
0.6656,-0.022799999999999997,0.0,1
0.6668,-0.018,0.0,1
0.6692,-0.013199999999999998,0.0,1
0.6704,-0.0084,0.0,1
0.6716,-0.0036,0.0,1
0.6728,0.0012,0.0,1
0.6728,0.005999999999999999,0.0,1
0.6776,0.0084,0.0,1
0.6824,0.0096,0.0,1
0.6872,0.0096,0.0,1
0.692,0.0096,0.0,1
0.6968,0.0096,0.0,1
0.7016,0.0096,0.0,1
0.7052,0.013199999999999998,0.0,1
0.7052,0.018,0.0,1
0.7052,0.020399999999999998,0.0,1
0.7052,0.020399999999999998,0.08,0
0.3692,0.020399999999999998,0.08,0
0.3692,0.020399999999999998,0.0,0
0.3668,0.022799999999999997,0.0,1
0.362,0.0192,0.0,1
0.3572,0.018,0.0,1
0.35240000000000005,0.018,0.0,1
0.3476,0.018,0.0,1
0.3428,0.018,0.0,1
0.338,0.018,0.0,1
0.33320000000000005,0.018,0.0,1
0.3284,0.018,0.0,1
0.3236,0.018,0.0,1
0.31880000000000003,0.018,0.0,1
0.31400000000000006,0.020399999999999998,0.0,1
0.3116,0.025199999999999997,0.0,1
0.3128,0.020399999999999998,0.0,1
0.3104,0.0156,0.0,1
0.3104,0.010799999999999999,0.0,1
0.3104,0.005999999999999999,0.0,1
0.3104,0.0012,0.0,1
0.3104,-0.0036,0.0,1
0.3104,-0.0084,0.0,1
0.3116,-0.013199999999999998,0.0,1
0.31400000000000006,-0.018,0.0,1
0.3164,-0.022799999999999997,0.0,1
0.32120000000000004,-0.026399999999999996,0.0,1
0.326,-0.0288,0.0,1
0.3308,-0.027599999999999996,0.0,1
0.3356,-0.025199999999999997,0.0,1
0.34040000000000004,-0.021599999999999998,0.0,1
0.3452,-0.021599999999999998,0.0,1
0.35,-0.025199999999999997,0.0,1
0.3548,-0.026399999999999996,0.0,1
0.35960000000000003,-0.023999999999999997,0.0,1
0.3644,-0.020399999999999998,0.0,1
0.368,-0.0156,0.0,1
0.3692,-0.010799999999999999,0.0,1
0.3692,-0.005999999999999999,0.0,1
0.3692,-0.0012,0.0,1
0.3692,0.0036,0.0,1
0.3692,0.0084,0.0,1
0.3692,0.013199999999999998,0.0,1
0.3692,0.018,0.0,1
0.3692,0.0192,0.0,1
0.3692,0.0192,0.08,0
0.3692,0.0588,0.08,0
0.3692,0.0588,0.0,0
0.3668,0.0612,0.0,1
0.362,0.0576,0.0,1
0.3572,0.0576,0.0,1
0.35240000000000005,0.0576,0.0,1
0.3476,0.0576,0.0,1
0.3428,0.0576,0.0,1
0.338,0.0576,0.0,1
0.33320000000000005,0.0576,0.0,1
0.3284,0.0576,0.0,1
0.3236,0.0576,0.0,1
