t,x,y,z,v,accel
5.785939342155311138e+00,1.213391935444921438e-01,4.433919354449214478e-02,1.000000000000000021e-02,2.489153276712438578e-01,8.497444015681663743e+00
5.793939342155311145e+00,1.219999999999999973e-01,4.604913639238637779e-02,1.000000000000000021e-02,2.291482092277251914e-01,1.396078916887849353e+01
5.801939342155311152e+00,1.219999999999999973e-01,4.798799423625567384e-02,1.000000000000000021e-02,2.423572304836620062e-01,1.092708485165430332e+01
5.809939342155311159e+00,1.219999999999999973e-01,4.988205208012498615e-02,1.000000000000000021e-02,2.367572304836640384e-01,6.999999999997459366e-01
5.817939342155311166e+00,1.214828857935946332e-01,5.151711420640536082e-02,1.000000000000000021e-02,2.143607961498101289e-01,9.036680409376311118e+00
5.825939342155311174e+00,1.202069414158293825e-01,5.279305858417061154e-02,1.000000000000000021e-02,2.255572304836646613e-01,1.311745305963174424e+01
5.833939342155311181e+00,1.203302177969521325e-01,5.433021779695212938e-02,1.000000000000000021e-02,1.927618151202823149e-01,2.224053916955832833e+01
5.841939342155311188e+00,1.209999999999999964e-01,5.576764276848287377e-02,1.000000000000000021e-02,1.982264625174564032e-01,8.680183692442735577e+00
5.849939342155311195e+00,1.209999999999999964e-01,5.743770061235218410e-02,1.000000000000000021e-02,2.087572304836637915e-01,1.107862363136613837e+01
5.857939342155311202e+00,1.209999999999999964e-01,5.906295845622145518e-02,1.000000000000000021e-02,2.031572304836588849e-01,7.000000000006133538e-01
5.865939342155311209e+00,1.209999999999999964e-01,6.064341630009076334e-02,1.000000000000000021e-02,1.975572304836635262e-01,6.999999999994198641e-01
5.873939342155311216e+00,1.201662686772841243e-01,6.183373132271587080e-02,1.000000000000000021e-02,1.816572051439093449e-01,1.438280477191147533e+01
5.881939342155311223e+00,1.191120729860990074e-01,6.288792701390100159e-02,1.000000000000000021e-02,1.863572304836601523e-01,4.048443535195747955e+00
5.889939342155311230e+00,1.177124372930475477e-01,6.300000000000000044e-02,1.000000000000000021e-02,1.755144415121581702e-01,1.567900033004863936e+01
5.897939342155311238e+00,1.163111794491782786e-01,6.300000000000000044e-02,1.000000000000000021e-02,1.751572304836586380e-01,1.751323828689339113e+00
5.905939342155311245e+00,1.152608765588861994e-01,6.373912344111380690e-02,1.000000000000000021e-02,1.605381390900524341e-01,1.278458124990491918e+01
5.913939342155311252e+00,1.140572773238127807e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.539433589854165008e-01,7.847108495439384157e+00
5.921939342155311259e+00,1.127904194799434906e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.583572304836612654e-01,4.194322525279521763e+00
5.929939342155311266e+00,1.115683616360741565e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.527572304836667672e-01,6.999999999993122834e-01
5.937939342155311273e+00,1.103911037922048893e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.471572304836583911e-01,7.000000000010470069e-01
5.945939342155311280e+00,1.092586459483356059e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.415572304836604234e-01,6.999999999997459366e-01
5.953939342155311287e+00,1.081709881044662785e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.359572304836659251e-01,6.999999999993122834e-01
5.961939342155311294e+00,1.071281302605969904e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.303572304836610185e-01,7.000000000006133538e-01
5.969939342155311301e+00,1.061300724167276860e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.247572304836630508e-01,6.999999999997459366e-01
5.977939342155311309e+00,1.051768145728584208e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.191572304836581442e-01,7.000000000006133538e-01
5.985939342155311316e+00,1.042683567289890978e-01,6.400000000000000133e-02,1.000000000000000021e-02,1.135572304836653806e-01,6.999999999990954569e-01
5.993939342155311323e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,3.354459112363608608e-02,1.000157992000366214e+01
6.001939342155311330e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,4.193073890454511066e+00
6.009939342155311337e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.017939342155311344e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.025939342155311351e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.033939342155311358e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.041939342155311365e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.049939342155311373e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.057939342155311380e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.065939342155311387e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.073939342155311394e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.081939342155311401e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.089939342155311408e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.097939342155311415e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.105939342155311422e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.113939342155311429e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.121939342155311436e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.129939342155311444e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.137939342155311451e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.144163957131970832e+00,1.040000000000000091e-01,6.400000000000000133e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.152163957131970839e+00,1.040000000000000091e-01,6.400000000000000133e-02,5.000000000000000278e-02,5.000000000000000000e+00,6.250000000000000000e+02
6.160163957131970847e+00,1.040320000000000134e-01,6.400000000000000133e-02,5.000000000000000278e-02,4.000000000000530909e-03,6.250001999999680038e+02
6.168163957131970854e+00,1.041280000000000122e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.199999999999985800e-02,9.999999999999158451e-01
6.176163957131970861e+00,1.042880000000000057e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.999999999999918510e-02,9.999999999999158451e-01
6.184163957131970868e+00,1.045120000000000077e-01,6.400000000000000133e-02,5.000000000000000278e-02,2.800000000000024691e-02,1.000000000000132783e+00
6.192163957131970875e+00,1.048000000000000043e-01,6.400000000000000133e-02,5.000000000000000278e-02,3.599999999999957401e-02,9.999999999999158451e-01
6.200163957131970882e+00,1.051520000000000093e-01,6.400000000000000133e-02,5.000000000000000278e-02,4.400000000000063582e-02,1.000000000000132783e+00
6.208163957131970889e+00,1.055680000000000091e-01,6.400000000000000133e-02,5.000000000000000278e-02,5.199999999999996292e-02,9.999999999999158451e-01
6.216163957131970896e+00,1.060480000000000034e-01,6.400000000000000133e-02,5.000000000000000278e-02,5.999999999999929001e-02,9.999999999999158451e-01
6.224163957131970903e+00,1.065920000000000062e-01,6.400000000000000133e-02,5.000000000000000278e-02,6.800000000000035183e-02,1.000000000000132783e+00
6.232163957131970911e+00,1.072000000000000036e-01,6.400000000000000133e-02,5.000000000000000278e-02,7.599999999999967892e-02,9.999999999999158451e-01
6.240163957131970918e+00,1.078720000000000095e-01,6.400000000000000133e-02,5.000000000000000278e-02,8.400000000000074074e-02,1.000000000000132783e+00
6.248163957131970925e+00,1.086080000000000101e-01,6.400000000000000133e-02,5.000000000000000278e-02,9.200000000000006783e-02,9.999999999999158451e-01
6.256163957131970932e+00,1.094080000000000052e-01,6.400000000000000133e-02,5.000000000000000278e-02,9.999999999999939493e-02,9.999999999999158451e-01
6.264163957131970939e+00,1.102720000000000089e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.080000000000004567e-01,1.000000000000132783e+00
6.272163957131970946e+00,1.112000000000000072e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.159999999999997838e-01,9.999999999999158451e-01
6.280163957131970953e+00,1.121920000000000139e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.240000000000008457e-01,1.000000000000132783e+00
6.288163957131970960e+00,1.132480000000000153e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.320000000000001728e-01,9.999999999999158451e-01
6.296163957131970967e+00,1.143680000000000113e-01,6.400000000000000133e-02,5.000000000000000278e-02,1.399999999999994860e-01,9.999999999999141798e-01
