t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
1.761893,-0.252497,0.097358,0.000000,0.000000,3.141593,0.000000,-0.008293,0.047980,0.000000,0.033886,0.268156,0.000000
1.781915,-0.252656,0.098371,0.000000,0.000000,3.141593,0.000000,-0.007591,0.053069,0.000000,0.036221,0.240172,0.000000
1.801936,-0.252800,0.099480,0.000000,0.000000,3.141593,0.000000,-0.006843,0.057597,0.000000,0.038555,0.212188,0.000000
1.821958,-0.252930,0.100674,0.000000,0.000000,3.141593,0.000000,-0.006047,0.061566,0.000000,0.040889,0.184205,0.000000
1.841979,-0.253042,0.101941,0.000000,0.000000,3.141593,0.000000,-0.005205,0.064973,0.000000,0.043224,0.156221,0.000000
1.862001,-0.253138,0.103272,0.000000,0.000000,3.141593,0.000000,-0.004317,0.067821,0.000000,0.045558,0.128237,0.000000
1.882022,-0.253215,0.104653,0.000000,0.000000,3.141593,0.000000,-0.003381,0.070108,0.000000,0.047892,0.100254,0.000000
1.902044,-0.253273,0.106075,0.000000,0.000000,3.141593,0.000000,-0.002399,0.071836,0.000000,0.050227,0.072270,0.000000
1.922066,-0.253311,0.107526,0.000000,0.000000,3.141593,0.000000,-0.001370,0.073002,0.000000,0.052561,0.044286,0.000000
1.942087,-0.253327,0.108995,0.000000,0.000000,3.141593,0.000000,-0.000294,0.073609,0.000000,0.054895,0.016303,0.000000
1.962109,-0.253322,0.110470,0.000000,0.000000,3.141593,0.000000,0.000828,0.073655,0.000000,0.057230,-0.011681,0.000000
1.982130,-0.253294,0.111940,0.000000,0.000000,3.141593,0.000000,0.001998,0.073141,0.000000,0.059564,-0.039665,0.000000
2.002152,-0.253242,0.113395,0.000000,0.000000,3.141593,0.000000,0.003213,0.072067,0.000000,0.061898,-0.067648,0.000000
2.022173,-0.253165,0.114822,0.000000,0.000000,3.141593,0.000000,0.004476,0.070432,0.000000,0.064232,-0.095632,0.000000
2.042195,-0.253062,0.116211,0.000000,0.000000,3.141593,0.000000,0.005785,0.068237,0.000000,0.066567,-0.123616,0.000000
2.062216,-0.252933,0.117551,0.000000,0.000000,3.141593,0.000000,0.007142,0.065482,0.000000,0.068901,-0.151599,0.000000
2.082238,-0.252776,0.118830,0.000000,0.000000,3.141593,0.000000,0.008545,0.062167,0.000000,0.071235,-0.179583,0.000000
2.102259,-0.252590,0.120037,0.000000,0.000000,3.141593,0.000000,0.009994,0.058291,0.000000,0.073570,-0.207567,0.000000
2.122281,-0.252375,0.121160,0.000000,0.000000,3.141593,0.000000,0.011490,0.053855,0.000000,0.075904,-0.235550,0.000000
2.142302,-0.252130,0.122189,0.000000,0.000000,3.141593,0.000000,0.013034,0.048859,0.000000,0.078238,-0.263534,0.000000
2.162324,-0.251853,0.123113,0.000000,0.000000,3.141593,0.000000,0.014623,0.043303,0.000000,0.080573,-0.291518,0.000000
2.182345,-0.251544,0.123920,0.000000,0.000000,3.141593,0.000000,0.016260,0.037186,0.000000,0.082907,-0.319502,0.000000
2.202367,-0.251202,0.124598,0.000000,0.000000,3.141593,0.000000,0.017943,0.030509,0.000000,0.085241,-0.347485,0.000000
2.222388,-0.250825,0.125138,0.000000,0.000000,3.141593,0.000000,0.019673,0.023272,0.000000,0.087576,-0.375469,0.000000
2.242410,-0.250414,0.125527,0.000000,0.000000,3.141593,0.000000,0.021449,0.015526,0.000000,0.089630,-0.385976,0.000000
2.262431,-0.249966,0.125762,0.000000,0.000000,3.141593,0.000000,0.023258,0.008111,0.000000,0.091016,-0.354646,0.000000
2.282453,-0.249482,0.125856,0.000000,0.000000,3.141593,0.000000,0.025094,0.001324,0.000000,0.092402,-0.323315,0.000000
2.302474,-0.248961,0.125819,0.000000,0.000000,3.141593,0.000000,0.026958,-0.004835,0.000000,0.093788,-0.291985,0.000000
2.322496,-0.248402,0.125666,0.000000,0.000000,3.141593,0.000000,0.028849,-0.010368,0.000000,0.095174,-0.260655,0.000000
2.342517,-0.247806,0.125408,0.000000,0.000000,3.141593,0.000000,0.030769,-0.015273,0.000000,0.096560,-0.229325,0.000000
2.362539,-0.247170,0.125059,0.000000,0.000000,3.141593,0.000000,0.032716,-0.019550,0.000000,0.097946,-0.197995,0.000000
2.382560,-0.246495,0.124630,0.000000,0.000000,3.141593,0.000000,0.034691,-0.023201,0.000000,0.099332,-0.166665,0.000000
2.402582,-0.245781,0.124134,0.000000,0.000000,3.141593,0.000000,0.036693,-0.026224,0.000000,0.100718,-0.135335,0.000000
2.422603,-0.245026,0.123584,0.000000,0.000000,3.141593,0.000000,0.038724,-0.028620,0.000000,0.102104,-0.104005,0.000000
2.442625,-0.244230,0.122992,0.000000,0.000000,3.141593,0.000000,0.040782,-0.030389,0.000000,0.103489,-0.072675,0.000000
2.462646,-0.243393,0.122371,0.000000,0.000000,3.141593,0.000000,0.042868,-0.031530,0.000000,0.104875,-0.041345,0.000000
2.482668,-0.242513,0.121734,0.000000,0.000000,3.141593,0.000000,0.044981,-0.032044,0.000000,0.106261,-0.010015,0.000000
2.502689,-0.241591,0.121092,0.000000,0.000000,3.141593,0.000000,0.047123,-0.031931,0.000000,0.107647,0.021316,0.000000
2.522711,-0.240626,0.120459,0.000000,0.000000,3.141593,0.000000,0.049292,-0.031191,0.000000,0.109033,0.052646,0.000000
2.542733,-0.239617,0.119847,0.000000,0.000000,3.141593,0.000000,0.051489,-0.029823,0.000000,0.110419,0.083976,0.000000
2.562754,-0.238564,0.119269,0.000000,0.000000,3.141593,0.000000,0.053713,-0.027828,0.000000,0.111805,0.115306,0.000000
2.582776,-0.237466,0.118737,0.000000,0.000000,3.141593,0.000000,0.055966,-0.025206,0.000000,0.113191,0.146636,0.000000
2.602797,-0.236323,0.118264,0.000000,0.000000,3.141593,0.000000,0.058246,-0.021957,0.000000,0.114577,0.177966,0.000000
2.622819,-0.235134,0.117862,0.000000,0.000000,3.141593,0.000000,0.060554,-0.018080,0.000000,0.115963,0.209296,0.000000
2.642840,-0.233899,0.117544,0.000000,0.000000,3.141593,0.000000,0.062773,-0.013677,0.000000,0.095236,0.221288,0.000000
2.662862,-0.232625,0.117314,0.000000,0.000000,3.141593,0.000000,0.064272,-0.009302,0.000000,0.054419,0.215710,0.000000
2.682883,-0.231330,0.117171,0.000000,0.000000,3.141593,0.000000,0.064953,-0.005039,0.000000,0.013603,0.210133,0.000000
2.702905,-0.230030,0.117111,0.000000,0.000000,3.141593,0.000000,0.064816,-0.000888,0.000000,-0.027214,0.204555,0.000000
2.722926,-0.228740,0.117134,0.000000,0.000000,3.141593,0.000000,0.063863,0.003152,0.000000,-0.068031,0.198977,0.000000
2.742948,-0.227478,0.117237,0.000000,0.000000,3.141593,0.000000,0.062092,0.007080,0.000000,-0.108847,0.193400,0.000000
2.762969,-0.226259,0.117417,0.000000,0.000000,3.141593,0.000000,0.059504,0.010896,0.000000,-0.149664,0.187822,0.000000
2.782991,-0.225101,0.117673,0.000000,0.000000,3.141593,0.000000,0.056099,0.014601,0.000000,-0.190480,0.182245,0.000000
2.803012,-0.224019,0.118001,0.000000,0.000000,3.141593,0.000000,0.051877,0.018194,0.000000,-0.231297,0.176667,0.000000
2.823034,-0.223029,0.118400,0.000000,0.000000,3.141593,0.000000,0.046837,0.021675,0.000000,-0.272114,0.171090,0.000000
2.843055,-0.222148,0.118868,0.000000,0.000000,3.141593,0.000000,0.040981,0.025044,0.000000,-0.312930,0.165512,0.000000
2.863077,-0.221393,0.119402,0.000000,0.000000,3.141593,0.000000,0.034307,0.028302,0.000000,-0.353747,0.159934,0.000000
2.883098,-0.220780,0.120001,0.000000,0.000000,3.141593,0.000000,0.026816,0.031449,0.000000,-0.394563,0.154357,0.000000
2.903120,-0.220325,0.120661,0.000000,0.000000,3.141593,0.000000,0.018507,0.034483,0.000000,-0.435380,0.148779,0.000000
2.923141,-0.220045,0.121381,0.000000,0.000000,3.141593,0.000000,0.009382,0.037406,0.000000,-0.476197,0.143202,0.000000
2.943163,-0.219950,0.122157,0.000000,0.000000,3.141593,0.000000,0.000211,0.040056,0.000000,-0.429582,0.119310,0.000000
2.963184,-0.220028,0.122981,0.000000,0.000000,3.141593,0.000000,-0.007807,0.042181,0.000000,-0.371333,0.092982,0.000000
2.983206,-0.220255,0.123843,0.000000,0.000000,3.141593,0.000000,-0.014658,0.043779,0.000000,-0.313084,0.066654,0.000000
3.003227,-0.220608,0.124731,0.000000,0.000000,3.141593,0.000000,-0.020343,0.044850,0.000000,-0.254835,0.040326,0.000000
3.023249,-0.221062,0.125635,0.000000,0.000000,3.141593,0.000000,-0.024862,0.045394,0.000000,-0.196586,0.013998,0.000000
3.043270,-0.221595,0.126545,0.000000,0.000000,3.141593,0.000000,-0.028215,0.045411,0.000000,-0.138336,-0.012330,0.000000
3.063292,-0.222184,0.127450,0.000000,0.000000,3.141593,0.000000,-0.030402,0.044900,0.000000,-0.080087,-0.038659,0.000000
3.083313,-0.222805,0.128339,0.000000,0.000000,3.141593,0.000000,-0.031422,0.043863,0.000000,-0.021838,-0.064987,0.000000
3.103335,-0.223434,0.129203,0.000000,0.000000,3.141593,0.000000,-0.031276,0.042298,0.000000,0.036411,-0.091315,0.000000
3.123356,-0.224050,0.130030,0.000000,0.000000,3.141593,0.000000,-0.029984,0.040219,0.000000,0.084918,-0.111448,0.000000
3.143378,-0.224632,0.130813,0.000000,0.000000,3.141593,0.000000,-0.028174,0.038025,0.000000,0.095934,-0.107742,0.000000
3.163399,-0.225176,0.131553,0.000000,0.000000,3.141593,0.000000,-0.026143,0.035904,0.000000,0.106951,-0.104037,0.000000
3.183421,-0.225677,0.132251,0.000000,0.000000,3.141593,0.000000,-0.023891,0.033859,0.000000,0.117967,-0.100331,0.000000
3.203443,-0.226131,0.132909,0.000000,0.000000,3.141593,0.000000,-0.021419,0.031887,0.000000,0.128983,-0.096626,0.000000
3.223464,-0.226534,0.133528,0.000000,0.000000,3.141593,0.000000,-0.018726,0.029989,0.000000,0.139999,-0.092920,0.000000
3.243486,-0.226880,0.134110,0.000000,0.000000,3.141593,0.000000,-0.015813,0.028166,0.000000,0.151016,-0.089214,0.000000
3.263507,-0.227165,0.134657,0.000000,0.000000,3.141593,0.000000,-0.012679,0.026417,0.000000,0.162032,-0.085509,0.000000
3.283529,-0.227386,0.135169,0.000000,0.000000,3.141593,0.000000,-0.009325,0.024742,0.000000,0.173048,-0.081803,0.000000
3.303550,-0.227537,0.135648,0.000000,0.000000,3.141593,0.000000,-0.005750,0.023141,0.000000,0.184065,-0.078097,0.000000
3.323572,-0.227615,0.136096,0.000000,0.000000,3.141593,0.000000,-0.001954,0.021615,0.000000,0.195081,-0.074392,0.000000
3.343593,-0.227614,0.136514,0.000000,0.000000,3.141593,0.000000,0.002062,0.020163,0.000000,0.206097,-0.070686,0.000000
3.363615,-0.227531,0.136904,0.000000,0.000000,3.141593,0.000000,0.006299,0.018784,0.000000,0.217114,-0.066981,0.000000
3.383636,-0.227360,0.137267,0.000000,0.000000,3.141593,0.000000,0.010756,0.017480,0.000000,0.228130,-0.063275,0.000000
3.403658,-0.227099,0.137604,0.000000,0.000000,3.141593,0.000000,0.015434,0.016251,0.000000,0.239146,-0.059569,0.000000
3.423679,-0.226741,0.137918,0.000000,0.000000,3.141593,0.000000,0.020332,0.015095,0.000000,0.250163,-0.055864,0.000000
3.443701,-0.226283,0.138209,0.000000,0.000000,3.141593,0.000000,0.025451,0.014014,0.000000,0.261179,-0.052158,0.000000
3.463722,-0.225720,0.138480,0.000000,0.000000,3.141593,0.000000,0.030790,0.013006,0.000000,0.272195,-0.048453,0.000000
3.483744,-0.225049,0.138730,0.000000,0.000000,3.141593,0.000000,0.036350,0.012073,0.000000,0.283212,-0.044747,0.000000
3.503765,-0.224263,0.138963,0.000000,0.000000,3.141593,0.000000,0.042131,0.011215,0.000000,0.294228,-0.041041,0.000000
